beat,block,day,tract,600ft,1200ft,1800ft,2400ft,3000ft
1432,8309001040,10,830900,0.0,0.0,0.0,0.956954760293,0.0
1432,8309001040,13,830900,0.0,0.0,0.0,0.901284958429,0.0
1112,2312003007,1,231200,0.0,0.0,0.837765957438,1.29553903346,0.0
1112,2312003007,4,231200,0.0,0.0,0.0,0.0,0.925261584457
1112,2312003007,7,231200,0.0,0.0,0.0,0.0,0.0
1112,2312003007,10,231200,0.0,0.932910244786,0.0,0.0,0.0
1112,2312003007,13,231200,0.0,0.0,0.0,0.0,0.0
1011,2909001006,1,290900,0.0,0.0,0.0,0.99111807733,0.0
1011,2909001006,4,290900,0.0,0.0,1.06878783975,0.0,0.0
1011,2909001006,7,290900,0.0,0.0,0.0,2.1170806434,0.0
1011,2909001006,10,290900,0.0,0.0,2.06585505352,0.0,0.0
1011,2909001006,13,290900,0.0,0.0,0.0,0.0,0.0
814,8352001020,1,835200,0.0,0.0,0.0,0.0,0.0
814,8352001020,4,835200,0.0,0.0,0.0,0.0,1.08076245042
814,8352001020,7,835200,0.0,0.0,0.0,0.0,0.0
814,8352001020,10,835200,0.0,0.0,0.899783445622,0.0,0.0
814,8352001020,13,835200,0.0,0.0,0.0,0.0,0.0
831,6608004002,1,660800,0.0,0.0,0.0,0.0,0.0
831,6608004002,4,660800,0.0,0.0,0.0,0.0,0.0
831,6608004002,7,660800,0.89498432602,0.0,0.0,0.0,0.976604304184
831,6608004002,10,660800,0.0,0.0,0.0,0.0,0.0
831,6608004002,13,660800,0.0,0.0,0.0,0.915554265814,0.0
831,6608004000,1,660800,0.0,0.0,0.0,0.0,0.0
831,6608004000,4,660800,0.0,0.0,0.0,0.0,0.0
831,6608004000,7,660800,0.89498432602,0.0,0.0,0.0,0.976604304184
831,6608004000,10,660800,0.0,0.0,0.0,0.0,0.0
831,6608004000,13,660800,0.0,0.0,0.0,0.915554265814,0.0
831,6608004001,1,660800,0.0,0.0,0.0,0.0,0.0
831,6608004001,4,660800,0.0,0.0,0.0,0.0,0.0
831,6608004001,7,660800,0.0,0.0,0.0,0.0,0.976604304184
831,6608004001,10,660800,0.0,0.0,0.0,0.0,0.0
831,6608004001,13,660800,0.0,0.0,0.0,0.915554265814,0.0
2222,7302021018,1,730202,0.0,1.30975609756,0.0,0.0,1.59313725485
2222,7302021018,4,730202,0.0,0.0,0.0,0.0,0.0
2222,7302021018,7,730202,0.0,0.0,0.0,0.0,0.0
2222,7302021018,10,730202,0.0,0.0,0.0,0.0,0.0
2222,7302021018,13,730202,0.0,0.0,0.0,0.0,0.0
831,6608004007,1,660800,0.0,0.0,0.0,0.0,0.0
831,6608004007,4,660800,0.0,0.0,0.0,0.0,0.0
831,6608004007,7,660800,0.0,1.05078284547,0.0,0.0,0.0
831,6608004007,10,660800,0.0,0.0,0.0,0.0,0.0
831,6608004007,13,660800,0.0,0.0,0.0,0.915554265814,0.0
