# beat,block,tract,knox_sums,Jan_Mar_ave,Apr_Jun_ave,Jul_Sep_ave,Oct_Dec_ave,expburgs,baseline
931.0, 6113001000.0, 611300.0, 0.936441542535, 0.022222, 0.011111, 0.1, 0.044444, 0.000547621156795, 0.000584789473684
931.0, 6113001007.0, 611300.0, 0.0, 0.022222, 0.011111, 0.1, 0.044444, 0.0, 0.000584789473684
131.0, 8410001028.0, 841000.0, 0.0, 0.0, 0.0, 0.066667, 0.044444, 0.0, 0.0
131.0, 8410001040.0, 841000.0, 0.0, 0.0, 0.0, 0.066667, 0.044444, 0.0, 0.0
1011.0, 2909001002.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1011.0, 2909001006.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1011.0, 2909004013.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1011.0, 2909004011.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1012.0, 2909002009.0, 290900.0, 1.10247349823, 0.144444, 0.111111, 0.122222, 0.266667, 0.00419067584154, 0.00380115789474
1011.0, 2909003001.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1011.0, 2909003003.0, 290900.0, 1.16013712047, 0.144444, 0.111111, 0.122222, 0.266667, 0.00440986437445, 0.00380115789474
1011.0, 2909003007.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1012.0, 2909003011.0, 290900.0, 0.0, 0.144444, 0.111111, 0.122222, 0.266667, 0.0, 0.00380115789474
1011.0, 2909004008.0, 290900.0, 1.16013712047, 0.144444, 0.111111, 0.122222, 0.266667, 0.00440986437445, 0.00380115789474
1432.0, 8309001040.0, 830900.0, 0.0, 0.044444, 0.044444, 0.033333, 0.022222, 0.0, 0.00116957894737
1432.0, 8309001038.0, 830900.0, 0.0, 0.044444, 0.044444, 0.033333, 0.022222, 0.0, 0.00116957894737
1431.0, 8309002006.0, 830900.0, 0.0, 0.044444, 0.044444, 0.033333, 0.022222, 0.0, 0.00116957894737
1112.0, 2312003007.0, 231200.0, 0.937021276595, 0.111111, 0.133333, 0.055556, 0.022222, 0.00273982555431, 0.00292397368421
