beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat915,10,10.21875,31.9166666667,62.7604166667,89.8958333333,109.416666667,0.34000000,0.18000000,0.10000000,0.02000000,0.14000000
beat915,13,11.1145833333,38.0520833333,73.4895833333,107.447916667,127.28125,0.26000000,0.18000000,0.12000000,0.07000000,0.07000000
beat2522,1,3.22222222222,7.43055555556,10.8611111111,18.8611111111,23.8055555556,0.24000000,0.58000000,0.87000000,0.38000000,0.83000000
beat2522,4,8.72222222222,26.6041666667,45.0,67.9375,79.9097222222,0.22000000,0.17000000,0.49000000,0.17000000,0.65000000
beat2522,7,11.5208333333,43.4444444444,82.9583333333,112.729166667,133.159722222,0.82000000,0.53000000,0.36000000,0.47000000,0.86000000
beat2522,10,15.3541666667,58.6319444444,104.763888889,151.701388889,181.527777778,0.88000000,0.65000000,0.63000000,0.73000000,0.90000000
beat2522,13,23.1319444444,79.8888888889,140.25,196.104166667,240.583333333,0.56000000,0.14000000,0.45000000,0.57000000,0.70000000
beat2412,1,4.46575342466,7.71917808219,16.7191780822,22.0273972603,29.9863013699,0.13000000,0.45000000,0.16000000,0.62000000,0.42000000
beat2412,4,8.01369863014,18.0273972603,36.9109589041,57.2260273973,75.198630137,0.19000000,0.82000000,0.54000000,0.42000000,0.31000000
beat2412,7,12.8493150685,31.698630137,60.4794520548,87.5616438356,114.363013699,0.08000000,0.36000000,0.28000000,0.28000000,0.11000000
beat2412,10,17.3561643836,46.2054794521,86.6095890411,128.773972603,158.595890411,0.14000000,0.36000000,0.14000000,0.22000000,0.18000000
beat2412,13,19.5136986301,58.5342465753,108.712328767,171.917808219,214.363013699,0.31000000,0.50000000,0.53000000,0.11000000,0.05000000
beat1634,1,1.80612244898,4.79591836735,9.0306122449,14.0510204082,16.6428571429,0.13000000,0.25000000,0.34000000,0.17000000,0.38000000
beat1634,4,5.69387755102,11.9387755102,20.7959183673,30.806122449,38.5102040816,0.07000000,0.02000000,0.06000000,0.18000000,0.45000000
beat1634,7,9.24489795918,18.3673469388,36.0102040816,53.4693877551,65.806122449,0.03000000,0.06000000,0.10000000,0.18000000,0.53000000
beat1634,10,11.2142857143,23.0102040816,51.2448979592,78.5612244898,96.0612244898,0.06000000,0.32000000,0.11000000,0.22000000,0.86000000
beat1634,13,14.6020408163,28.8775510204,63.7448979592,90.3571428571,113.020408163,0.09000000,0.22000000,0.17000000,0.55000000,0.98000000
beat732,1,2.85106382979,7.47872340426,11.2021276596,15.1276595745,15.8617021277,0.10000000,0.06000000,0.76000000,0.71000000,0.95000000
beat732,4,7.63829787234,26.7553191489,38.4574468085,50.0531914894,53.5425531915,0.06000000,0.08000000,0.69000000,0.64000000,0.89000000
beat732,7,10.1489361702,42.5638297872,67.7340425532,83.8723404255,86.1595744681,0.40000000,0.29000000,0.89000000,0.97000000,1.00000000
beat732,10,14.8191489362,52.9361702128,89.8085106383,110.446808511,119.308510638,0.21000000,0.27000000,0.83000000,0.99000000,1.00000000
beat732,13,18.3191489362,70.2553191489,112.829787234,137.531914894,152.787234043,0.17000000,0.06000000,0.70000000,0.96000000,1.00000000
beat612,1,10.1785714286,27.3482142857,61.6473214286,90.0714285714,109.21875,0.37000000,0.89000000,0.09000000,0.08000000,0.47000000
beat612,4,26.4151785714,80.65625,158.696428571,229.776785714,298.084821429,0.21000000,0.72000000,0.24000000,0.24000000,0.44000000
beat612,7,38.0223214286,135.388392857,247.3125,367.321428571,463.642857143,0.44000000,0.47000000,0.11000000,0.11000000,0.43000000
beat612,10,54.3571428571,178.611607143,333.151785714,499.803571429,655.816964286,0.63000000,0.49000000,0.19000000,0.02000000,0.16000000
beat612,13,63.7276785714,222.0625,426.584821429,618.566964286,814.026785714,0.55000000,0.44000000,0.13000000,0.09000000,0.10000000
beat2232,1,2.41489361702,4.21276595745,8.20212765957,10.7127659574,11.1489361702,0.12000000,0.15000000,0.13000000,0.40000000,0.48000000
