beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat912,1,1.12612612612,1.33248730965,0.983985765131,1.29955947135,0.907258064523,0.41000000,0.10000000,0.24000000,0.09000000,0.13000000
beat912,4,1.90885416667,1.29527559055,1.2416311625,1.16516129032,1.04065174457,0.02000000,0.07000000,0.02000000,0.04000000,0.10000000
beat912,7,0.71212121212,1.05615292712,1.08897058824,1.02800933645,0.927960611562,0.18000000,0.17000000,0.03000000,0.03000000,0.23000000
beat912,10,0.853191489363,1.07381069152,0.997826086957,0.936335403733,0.841325301195,0.34000000,0.18000000,0.14000000,0.16000000,0.60000000
beat912,13,0.83027522937,1.10146012729,1.07613711271,1.10169215749,0.923453167029,0.36000000,0.12000000,0.10000000,0.05000000,0.49000000
beat824,1,1.17021276596,1.07491638797,1.14626765299,1.00291545189,1.12555910544,0.24000000,0.22000000,0.11000000,0.12000000,0.06000000
beat824,4,1.18198992443,1.18164924506,1.13174209547,1.06425233645,1.0442214474,0.24000000,0.08000000,0.02000000,0.03000000,0.01000000
beat824,7,1.14060606061,1.11489223789,1.06165397632,0.999213706339,0.975647042088,0.15000000,0.03000000,0.02000000,0.07000000,0.14000000
beat824,10,1.07775919732,1.02316790636,1.03815683104,0.94408286093,0.970218960388,0.13000000,0.21000000,0.04000000,0.24000000,0.17000000
beat824,13,1.23923220974,1.04688351808,1.07725294822,1.00887573965,1.02668698089,0.06000000,0.15000000,0.04000000,0.05000000,0.08000000
beat711,1,1.0988372093,0.541401273885,1.12368421053,1.44957983193,1.27130044844,0.41000000,0.77000000,0.73000000,0.37000000,0.15000000
beat711,4,0.859375,0.75560897436,0.959076600208,0.927137546468,0.915109034268,0.50000000,0.89000000,0.85000000,0.86000000,0.94000000
beat711,7,1.37637362636,0.935706084962,1.12828207052,1.01986183074,1.0044600939,0.19000000,0.64000000,0.39000000,0.64000000,0.83000000
beat711,10,0.751533742352,0.89756507137,1.00452352232,0.968130311615,0.984338292875,0.34000000,0.68000000,0.60000000,0.50000000,0.84000000
beat711,13,0.531034482742,0.871174377225,0.972084024321,0.948751076657,0.973606070614,0.63000000,0.83000000,0.71000000,0.86000000,0.79000000
beat512,1,0.765661252901,1.1503567788,0.813953488373,0.954081632656,0.933264887064,0.81000000,0.39000000,0.72000000,0.86000000,0.85000000
beat512,4,1.1107305936,1.26480836237,1.05838261587,1.05628699734,0.99882105263,0.51000000,0.03000000,0.20000000,0.26000000,0.67000000
beat512,7,1.14955640052,1.18416981781,1.01359822061,1.01334431631,0.944369923246,0.35000000,0.02000000,0.08000000,0.14000000,0.67000000
beat512,10,1.17032332563,1.09696668324,1.01677303861,0.969033506708,0.943000507415,0.19000000,0.07000000,0.05000000,0.23000000,0.70000000
beat512,13,0.930656934313,1.02794270097,1.02264777376,0.96191135734,0.934145728646,0.33000000,0.15000000,0.12000000,0.29000000,0.78000000
beat713,1,1.10897435897,0.865356622994,1.00618374559,1.07234042554,1.09678782756,0.30000000,0.69000000,0.64000000,0.51000000,0.32000000
beat713,4,1.02336903602,0.978612716762,1.00863204097,0.99789101687,1.01186639321,0.35000000,0.57000000,0.51000000,0.65000000,0.39000000
beat713,7,1.06062581486,0.964863539795,0.942360655736,0.919223826709,0.974928277415,0.31000000,0.54000000,0.90000000,0.89000000,0.77000000
beat713,10,1.02512315272,0.989071368189,0.944270114223,0.986261404628,1.0134202123,0.29000000,0.42000000,0.88000000,0.89000000,0.82000000
beat713,13,1.24107142859,0.980771578564,0.938607730093,0.979428465043,1.01259721765,0.20000000,0.45000000,0.86000000,0.95000000,0.86000000
beat735,1,1.63786764706,1.10996119017,0.786618444841,0.829476861167,1.08775510203,0.11000000,0.07000000,0.18000000,0.66000000,0.42000000
beat735,4,1.11394891945,1.05767056163,0.958960843373,1.04573517466,1.02619573216,0.10000000,0.12000000,0.35000000,0.10000000,0.25000000
beat735,7,1.44731800765,1.11207471648,0.993785217099,1.09884467265,0.977730838857,0.01000000,0.02000000,0.19000000,0.01000000,0.17000000
beat735,10,1.05996884736,1.03232690484,0.961085599909,1.08795681798,0.954552760595,0.01000000,0.10000000,0.25000000,0.02000000,0.15000000
beat735,13,1.10739030023,1.06048282985,0.994568759507,1.09799573561,0.912739538521,0.05000000,0.04000000,0.13000000,0.01000000,0.09000000
beat1821,1,0.5,0.76,1.17948717949,0.833333333333,0.4,0.76000000,0.85000000,0.85000000,0.94000000,1.00000000
beat1821,4,-0.111111111111,0.811965811966,1.20338983051,1.05769230769,1.02097902098,0.86000000,0.91000000,0.50000000,0.68000000,1.00000000
beat1821,7,1.54285714286,1.08,1.37419354839,1.01933701657,0.980916030534,0.35000000,0.67000000,0.17000000,0.49000000,0.87000000
beat1821,10,0.1875,0.895833333333,1.17663043478,0.993006993007,0.986274509804,0.75000000,0.88000000,0.05000000,0.15000000,0.53000000
beat1821,13,0.517857142857,1.00778816199,1.31423611111,0.80612244898,0.878260869565,0.91000000,0.68000000,0.07000000,0.19000000,0.67000000
beat2422,1,1.20555555556,1.02912621359,1.20762711867,0.742574257423,0.919354838697,0.26000000,0.22000000,0.13000000,0.40000000,0.67000000
beat2422,4,1.59044368601,1.00544554455,1.05793650794,0.975349969567,0.994263862332,0.02000000,0.28000000,0.12000000,0.34000000,0.56000000
beat2422,7,1.25535714286,0.859836065575,0.983265027321,0.975490196079,0.987285793254,0.01000000,0.40000000,0.46000000,0.22000000,0.48000000
beat2422,10,1.29424778761,0.93148148148,1.03176470588,1.04000000001,0.971663135602,0.02000000,0.16000000,0.25000000,0.22000000,0.39000000
beat2422,13,1.07945736434,0.863720642769,0.978576137116,1.0318690784,0.970027247945,0.02000000,0.28000000,0.18000000,0.08000000,0.41000000
beat1422,1,2.85483870968,0.939393939393,0.662500000001,0.593333333348,43.0000000921,0.01000000,0.03000000,0.21000000,0.59000000,0.80000000
beat1422,4,0.46774193548,0.877475247525,1.03620955315,1.16095471236,1.07662624035,0.06000000,0.26000000,0.10000000,0.05000000,0.19000000
beat1422,7,1.58333333334,0.872110939911,1.01473922903,1.04864864865,0.936246992783,0.03000000,0.55000000,0.30000000,0.05000000,0.14000000
beat1422,10,1.08445945947,0.848176420693,1.13443072702,1.09336198663,0.962367864693,0.08000000,0.68000000,0.18000000,0.04000000,0.30000000
beat1422,13,1.46979865771,0.989517153748,1.29072956665,1.0672413793,0.955469506282,0.02000000,0.26000000,0.02000000,0.04000000,0.17000000
beat723,1,0.821705426357,0.81195335277,1.09116809117,1.38603988603,1.05335365855,0.68000000,0.91000000,0.75000000,0.19000000,0.02000000
beat723,4,0.878923766815,0.815252416758,1.06989247312,1.15490943756,1.04651656755,0.61000000,0.97000000,0.51000000,0.01000000,0.01000000
beat723,7,2.19847328244,0.914444444441,1.08361774744,1.04133776485,0.942047377334,0.11000000,0.92000000,0.58000000,0.17000000,0.08000000
beat723,10,1.038071066,0.851744186048,1.01899240304,1.04993556702,1.02300319489,0.20000000,0.84000000,0.70000000,0.21000000,0.09000000
beat723,13,1.44385026738,0.919646899049,1.03788157411,1.07524104683,1.0247875354,0.09000000,0.66000000,0.62000000,0.33000000,0.06000000
beat2531,1,1.41935483871,0.644,0.823170731706,1.00396825397,1.20000000009,0.40000000,0.76000000,0.79000000,0.85000000,0.89000000
beat2531,4,1.70149253732,0.958881578947,0.970027247955,0.903314917127,0.969500924216,0.13000000,0.48000000,0.76000000,0.96000000,0.85000000
beat2531,7,0.272727272726,0.855633802815,0.855013550138,0.844142259415,1.03154875717,0.33000000,0.62000000,0.91000000,1.00000000,0.89000000
beat2531,10,3.07692307689,0.975589225587,0.911467116363,0.871093749997,1.28068410463,0.16000000,0.53000000,0.76000000,1.00000000,0.73000000
beat2531,13,1.03296703297,0.888355342137,0.856900452492,0.818315377078,1.11346516008,0.22000000,0.71000000,0.86000000,1.00000000,0.77000000
beat1613,1,10.1607142857,0.542553191497,0.374999999996,1.65983606557,0.0124999999988,0.01000000,0.01000000,0.01000000,0.01000000,0.01000000
beat1613,4,1.17241379311,0.92081447964,1.06302521007,1.17735042735,1.00625711035,0.01000000,0.02000000,0.03000000,0.01000000,0.02000000
beat1613,7,0.699999999999,0.887959866217,1.11475409836,1.13023679418,1.11785216178,0.01000000,0.02000000,0.03000000,0.01000000,0.01000000
beat1613,10,0.219999999995,0.798219584566,0.982965931867,0.943337484432,0.912616822429,0.01000000,0.03000000,0.07000000,0.07000000,0.04000000
beat1613,13,0.851063829776,0.741854636597,1.02132701423,1.04321663019,0.950274079875,0.03000000,0.08000000,0.09000000,0.05000000,0.16000000
beat1021,1,1.06534090909,1.36717062635,0.611867704278,0.907534246575,1.57894736841,0.46000000,0.04000000,0.67000000,0.77000000,0.37000000
beat1021,4,0.753280839897,1.01892836342,0.91011235955,0.989023978387,1.0371522095,0.80000000,0.37000000,0.62000000,0.67000000,0.22000000
beat1021,7,1.0407523511,1.07018747142,0.957603844834,1.02446877012,1.03141263941,0.72000000,0.43000000,0.59000000,0.42000000,0.44000000
beat1021,10,0.674509803928,0.990338164249,0.973118279572,1.0435594275,0.998105342945,0.91000000,0.59000000,0.51000000,0.36000000,0.41000000
beat1021,13,1.10859188543,1.0359187178,0.997021975766,0.996905393448,1.00748663102,0.78000000,0.54000000,0.69000000,0.46000000,0.22000000
beat1622,1,1.82608695652,0.859683794465,0.922244094492,1.23902439024,0.596523330285,0.03000000,0.20000000,0.32000000,0.18000000,0.53000000
beat1622,4,0.924453280317,0.764073226545,0.886954389407,0.955629364673,0.839396520259,0.16000000,0.84000000,0.75000000,0.64000000,0.95000000
beat1622,7,1.0306451613,0.86402499178,1.03004032258,1.04226884228,0.9045132846,0.23000000,0.64000000,0.61000000,0.57000000,0.96000000
beat1622,10,1.78370786513,0.93676312969,1.05398009951,1.06458306317,0.943194264656,0.06000000,0.53000000,0.39000000,0.34000000,0.79000000
beat1622,13,2.43846153853,1.00612201816,1.0725500812,1.01601947243,0.945258147196,0.01000000,0.13000000,0.17000000,0.29000000,0.55000000
beat1624,1,3.11475409837,1.21465968586,1.05841121495,1.45862068967,1.26685393257,0.01000000,0.03000000,0.04000000,0.01000000,0.02000000
beat1624,4,0.489130434781,0.773675762438,0.893002028396,0.823468685481,0.752586731589,0.28000000,0.45000000,0.24000000,0.65000000,0.76000000
beat1624,7,1.09565217392,0.962196861623,1.07558139535,0.995934959352,1.03179753406,0.34000000,0.37000000,0.33000000,0.45000000,0.54000000
beat1624,10,1.18478260869,0.907707910749,0.97807270629,0.934489402701,0.916127541587,0.27000000,0.59000000,0.59000000,0.57000000,0.59000000
beat1624,13,-0.198717948719,0.87855007474,0.907221425157,0.838793103448,0.843697829724,0.58000000,0.77000000,0.83000000,0.95000000,0.96000000
beat2031,1,7.0,0.875,0.285714285714,0.857142857143,1.14285714286,0.12000000,0.17000000,0.33000000,0.24000000,0.27000000
beat2031,4,2.83333333333,1.325,0.95,0.978260869565,0.87962962963,0.02000000,0.14000000,0.24000000,0.29000000,0.61000000
beat2031,7,1.59375,0.98,0.774390243902,0.949275362319,0.892857142857,0.03000000,0.07000000,0.50000000,0.35000000,0.71000000
beat2031,10,2.35,1.0,0.90990990991,1.22222222222,0.883333333333,0.01000000,0.05000000,0.29000000,0.18000000,0.64000000
beat2031,13,1.54545454545,1.25833333333,0.950757575758,1.04867256637,1.01459854015,0.03000000,0.01000000,0.14000000,0.19000000,0.21000000
beat1923,1,1.40425531915,0.275510204082,1.57232704402,1.13496932517,0.744680851066,0.11000000,0.78000000,0.22000000,0.09000000,0.42000000
beat1923,4,1.98672566371,1.10081743869,1.19174757282,1.0725631769,0.993190661479,0.03000000,0.06000000,0.09000000,0.08000000,0.15000000
beat1923,7,0.868589743591,0.963680387407,1.10277382646,0.9825708061,0.907147628592,0.11000000,0.12000000,0.04000000,0.04000000,0.47000000
beat1923,10,0.8063063063,1.07759481038,1.12505446623,0.974144345243,0.95264623956,0.32000000,0.03000000,0.01000000,0.05000000,0.30000000
beat1923,13,3.61111111115,1.15807481752,1.0526002382,0.931300656117,0.911224489796,0.14000000,0.03000000,0.03000000,0.08000000,0.57000000
beat2032,1,5.75,1.0,1.0,-1.6,0.576923076923,0.02000000,0.01000000,0.02000000,0.39000000,0.81000000
beat2032,4,0.642857142857,0.704545454545,1.5,0.735294117647,0.904255319149,0.05000000,0.06000000,0.01000000,0.42000000,0.68000000
beat2032,7,0.357142857143,0.663043478261,1.0,0.870967741935,0.969879518072,0.13000000,0.32000000,0.20000000,0.20000000,0.49000000
beat2032,10,0.590909090909,0.923076923077,2.11666666667,1.22395833333,0.920353982301,0.20000000,0.25000000,0.10000000,0.11000000,0.33000000
beat2032,13,1.25,1.11578947368,1.39759036145,1.04375,0.824712643678,0.30000000,0.23000000,0.13000000,0.09000000,0.51000000
beat1712,1,1.97443181818,1.28278145696,1.10697674418,0.86131840796,0.971962616839,0.02000000,0.02000000,0.04000000,0.03000000,0.03000000
beat1712,4,1.06721698113,1.04825555052,1.02770897833,0.952510658455,0.967309220986,0.03000000,0.05000000,0.04000000,0.12000000,0.22000000
beat1712,7,0.608957219251,0.983036368074,1.05024602574,0.974828695297,0.952966218072,0.31000000,0.21000000,0.07000000,0.21000000,0.47000000
beat1712,10,0.902173913055,0.960641399417,1.04761904763,0.976913580244,0.956724028028,0.38000000,0.63000000,0.21000000,0.21000000,0.30000000
beat1712,13,0.702914798195,1.01186249193,1.10030542829,0.933525271911,0.905943025543,0.57000000,0.40000000,0.20000000,0.35000000,0.65000000
beat1824,1,0.0,0.0,0.0,0.0,0.0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
beat1824,4,0.666666666668,0.590909090909,1.54545454546,1.11111111111,1.04166666667,0.62000000,0.99000000,0.12000000,0.53000000,0.13000000
beat1824,7,0.799999999999,0.500000000001,1.22368421053,1.08108108108,0.990196078431,0.35000000,0.63000000,0.34000000,0.12000000,0.29000000
beat1824,10,0.800000000006,0.32142857143,1.14102564103,1.47368421052,0.840909090907,0.48000000,0.79000000,0.50000000,0.08000000,0.23000000
beat1824,13,-2.99999999976,-0.0666666666664,1.13492063492,1.275,0.854166666662,0.70000000,0.98000000,0.67000000,0.20000000,0.19000000
beat2535,1,2.08620689655,0.309523809527,1.85087719298,1.05952380952,0.938596491214,0.03000000,0.32000000,0.03000000,0.01000000,0.02000000
beat2535,4,1.66509433962,1.04084158416,1.25608011445,1.03806228374,1.05722891566,0.01000000,0.10000000,0.03000000,0.05000000,0.01000000
beat2535,7,0.887931034481,1.05033557047,1.12777777778,0.956846950516,1.09914893617,0.05000000,0.05000000,0.19000000,0.14000000,0.03000000
beat2535,10,1.32584269662,1.12158273381,1.01898734177,0.941886792451,1.02068045364,0.06000000,0.08000000,0.14000000,0.19000000,0.06000000
beat2535,13,0.966666666685,1.10781990521,1.02925327175,1.01709090909,1.11742424242,0.08000000,0.06000000,0.11000000,0.12000000,0.05000000
beat2222,1,1.48113207548,1.33597883597,0.742647058824,0.9088888889,1.24795081968,0.15000000,0.10000000,0.34000000,0.57000000,0.20000000
beat2222,4,1.1975,1.26587795766,1.11029900332,1.06981473113,1.0511442441,0.12000000,0.08000000,0.09000000,0.15000000,0.10000000
beat2222,7,1.30769230769,1.16951038576,1.0283771107,1.00137646249,0.990037359899,0.11000000,0.07000000,0.07000000,0.09000000,0.23000000
beat2222,10,1.78195488722,1.28506097561,1.03875198728,1.03920943577,0.975463280719,0.04000000,0.01000000,0.04000000,0.04000000,0.19000000
beat2222,13,1.03157894736,1.22658988483,0.96871609403,1.01816502462,0.964426279135,0.02000000,0.01000000,0.04000000,0.06000000,0.09000000
beat1511,1,0.574712643677,0.813609467456,1.56652360515,0.974264705894,0.63445378151,0.80000000,0.92000000,0.17000000,0.06000000,0.31000000
beat1511,4,2.4587628866,1.13355592655,1.24842767296,1.03133274493,0.965780998388,0.05000000,0.33000000,0.04000000,0.02000000,0.33000000
beat1511,7,1.51834862384,0.946004319657,1.04705323194,0.990928882436,0.962877030162,0.03000000,0.34000000,0.12000000,0.04000000,0.19000000
beat1511,10,1.30985915492,0.845372460499,1.037109375,1.05251346499,0.858744394617,0.02000000,0.33000000,0.18000000,0.05000000,0.15000000
beat1511,13,1.19117647065,0.86371308017,1.07815502883,1.08242463117,0.949025487279,0.03000000,0.41000000,0.16000000,0.02000000,0.06000000
beat1222,1,0.531914893616,1.63315217391,0.562500000003,0.985355648528,1.28925619835,0.88000000,0.14000000,0.43000000,0.46000000,0.27000000
beat1222,4,1.22,1.19487750557,0.909090909087,0.927363184083,1.04263206673,0.51000000,0.31000000,0.38000000,0.80000000,0.28000000
beat1222,7,1.14285714286,1.02635658915,0.893121693119,0.910336726704,1.09341117598,0.47000000,0.52000000,0.65000000,0.89000000,0.27000000
beat1222,10,0.606741573043,0.907133243607,0.968426013192,0.981235340111,1.1599009901,0.73000000,0.78000000,0.51000000,0.85000000,0.26000000
beat1222,13,0.0166666666644,0.871227364181,1.01356932153,0.983273596176,1.117,0.85000000,0.91000000,0.56000000,0.68000000,0.14000000
beat2011,1,2.48611111111,0.597911227154,1.23142112126,0.809728183112,0.903978052128,0.01000000,0.17000000,0.08000000,0.22000000,0.34000000
beat2011,4,1.53030303031,1.09196961476,1.12978665208,1.03659815436,1.0426405559,0.01000000,0.03000000,0.05000000,0.06000000,0.03000000
beat2011,7,0.942724458198,0.934448289119,1.00623885918,0.978786460773,0.979480840542,0.02000000,0.15000000,0.12000000,0.12000000,0.17000000
beat2011,10,1.57782101166,1.0392568175,1.08734338116,1.07240191674,1.00216567406,0.01000000,0.04000000,0.02000000,0.06000000,0.10000000
beat2011,13,0.728070175411,1.0295375568,1.04883868915,1.03239159,0.913402548367,0.02000000,0.02000000,0.05000000,0.03000000,0.36000000
beat431,1,2.11596736597,1.59556451613,0.799602046616,1.16919060052,0.880972879892,0.01000000,0.01000000,0.02000000,0.01000000,0.01000000
beat431,4,1.03862028301,1.26549268668,1.08246726252,1.14636887203,1.05559928041,0.02000000,0.01000000,0.01000000,0.01000000,0.02000000
beat431,7,1.04813359528,1.3093385214,1.14946703141,1.1484344346,1.0498577341,0.01000000,0.01000000,0.01000000,0.01000000,0.01000000
beat431,10,0.947031963476,1.32171600054,1.13733020698,1.04658610671,1.0028277635,0.04000000,0.01000000,0.01000000,0.01000000,0.01000000
beat431,13,0.862815884471,1.20407470288,1.03780948116,1.01778281259,1.00523450586,0.06000000,0.01000000,0.01000000,0.01000000,0.01000000
beat1724,1,0.269230769232,0.642857142857,1.90624999999,1.40697674419,-17.4999999959,0.88000000,0.94000000,0.84000000,0.44000000,0.20000000
beat1724,4,0.363636363636,1.35,1.37837837838,1.12784810126,1.15747126437,0.98000000,0.11000000,0.16000000,0.19000000,0.02000000
beat1724,7,0.602564102565,1.31964285715,1.00689655173,0.879268292681,1.04379562045,0.97000000,0.12000000,0.15000000,0.45000000,0.13000000
beat1724,10,0.459459459459,1.34131736527,0.909407665502,0.795629820051,1.12857142857,0.99000000,0.10000000,0.33000000,0.58000000,0.14000000
beat1724,13,2.2125,1.41046831955,1.05586592178,0.941309255077,1.22735849057,0.67000000,0.18000000,0.04000000,0.40000000,0.06000000
beat712,1,1.7298136646,0.973895582333,0.563888888885,1.39692982455,0.56474820145,0.12000000,0.18000000,0.63000000,0.11000000,0.71000000
beat712,4,1.14364640884,0.94840351689,0.970541902961,1.06647058824,0.957904946655,0.08000000,0.35000000,0.42000000,0.23000000,0.69000000
beat712,7,1.24776119403,0.95904005774,1.02468265162,1.1172335601,0.934313137369,0.08000000,0.38000000,0.34000000,0.05000000,0.65000000
beat712,10,1.10978260869,0.964783281733,0.993876360812,1.08371803978,0.908446215137,0.09000000,0.28000000,0.44000000,0.05000000,0.56000000
beat712,13,0.487719298242,0.937635254771,0.961191335733,1.05684367988,0.900680097517,0.22000000,0.45000000,0.58000000,0.18000000,0.79000000
beat621,1,1.9004127967,0.722884141331,1.07558986309,0.789952675646,1.0784148398,0.01000000,0.23000000,0.19000000,0.59000000,0.35000000
beat621,4,1.39695431472,1.04662445103,1.11188871609,1.03094942932,1.02159082917,0.01000000,0.01000000,0.04000000,0.09000000,0.17000000
beat621,7,1.14797843666,1.05345241269,1.07365118661,0.961208424934,0.969341061623,0.01000000,0.02000000,0.01000000,0.14000000,0.44000000
