beat,time,eknox600ft,eknox1200ft,eknox1800ft,eknox2400ft,eknox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat1033,4,1.1935483871,3.09677419355,5.58064516129,8.09677419355,9.87096774194,0.06000000,0.05000000,0.04000000,0.10000000,0.01000000
beat1033,7,2.41935483871,5.90322580645,12.4193548387,18.1935483871,19.3870967742,0.03000000,0.03000000,0.05000000,0.05000000,0.01000000
beat1033,10,4.06451612903,11.2903225806,18.6774193548,27.3225806452,27.8709677419,0.03000000,0.01000000,0.02000000,0.02000000,0.01000000
beat1033,13,6.41935483871,15.1290322581,26.8387096774,39.3548387097,42.2258064516,0.02000000,0.01000000,0.03000000,0.09000000,0.01000000
beat1133,1,3.27118644068,9.57627118644,20.593220339,30.3728813559,33.4745762712,0.26000000,0.57000000,0.47000000,0.41000000,0.68000000
beat1133,4,10.186440678,29.2372881356,54.0847457627,80.1694915254,98.406779661,0.66000000,0.89000000,0.42000000,0.77000000,0.70000000
beat1133,7,15.2711864407,41.3050847458,80.2033898305,124.86440678,154.016949153,0.78000000,0.82000000,0.66000000,0.62000000,0.53000000
beat1133,10,18.813559322,56.7627118644,100.779661017,166.728813559,193.101694915,0.89000000,0.83000000,0.70000000,0.44000000,0.70000000
beat1133,13,22.1016949153,71.4406779661,128.898305085,195.203389831,232.084745763,0.90000000,0.86000000,0.76000000,0.74000000,0.86000000
beat2521,1,3.22988505747,10.6896551724,21.2298850575,31.9885057471,44.6896551724,0.01000000,0.02000000,0.03000000,0.27000000,0.48000000
beat2521,4,8.12643678161,30.7126436782,62.8390804598,99.9540229885,135.609195402,0.07000000,0.03000000,0.10000000,0.17000000,0.42000000
beat2521,7,15.0114942529,52.724137931,105.931034483,162.057471264,238.528735632,0.01000000,0.01000000,0.01000000,0.03000000,0.16000000
beat2521,10,19.4252873563,73.5862068966,146.390804598,231.873563218,327.011494253,0.01000000,0.01000000,0.01000000,0.03000000,0.27000000
beat2521,13,25.4942528736,91.4942528736,188.850574713,293.252873563,404.206896552,0.02000000,0.01000000,0.01000000,0.05000000,0.15000000
beat224,1,1.17142857143,4.77142857143,9.22857142857,11.9428571429,12.0,0.81000000,0.39000000,0.35000000,0.34000000,1.00000000
beat224,4,5.17142857143,14.5428571429,29.0285714286,37.5714285714,38.0,0.84000000,0.60000000,0.23000000,0.67000000,1.00000000
beat224,7,5.8,23.4,47.6285714286,59.2,60.0,0.50000000,0.12000000,0.10000000,0.60000000,1.00000000
beat224,10,10.4,35.1428571429,65.0857142857,87.0571428571,88.0,0.43000000,0.07000000,0.12000000,0.28000000,1.00000000
beat224,13,12.0571428571,41.1714285714,78.0571428571,104.8,106.0,0.50000000,0.01000000,0.03000000,0.31000000,1.00000000
beat2221,1,2.17543859649,6.50877192982,11.3333333333,13.0175438596,17.5438596491,0.55000000,0.22000000,0.31000000,0.58000000,0.72000000
beat2221,4,7.22807017544,22.701754386,36.5438596491,47.6140350877,66.4561403509,0.44000000,0.85000000,0.61000000,0.76000000,0.77000000
beat2221,7,10.8771929825,31.4035087719,51.7368421053,79.9298245614,93.5964912281,0.15000000,0.25000000,0.43000000,0.40000000,0.12000000
beat2221,10,16.1403508772,39.9298245614,68.4561403509,108.719298246,127.754385965,0.10000000,0.13000000,0.33000000,0.28000000,0.15000000
beat2221,13,21.701754386,58.6140350877,91.7543859649,145.596491228,175.543859649,0.25000000,0.21000000,0.16000000,0.26000000,0.25000000
beat1823,1,0.0666666666667,0.733333333333,1.26666666667,1.86666666667,2.0,0.83000000,1.00000000,0.86000000,0.82000000,1.00000000
beat1823,4,1.13333333333,2.73333333333,6.06666666667,7.26666666667,8.0,0.55000000,0.76000000,0.20000000,0.03000000,1.00000000
beat1823,7,2.06666666667,4.53333333333,9.33333333333,11.4666666667,12.0,0.85000000,0.99000000,0.43000000,0.15000000,1.00000000
beat1823,10,2.26666666667,5.2,9.73333333333,12.9333333333,14.0,0.73000000,0.95000000,0.67000000,0.65000000,1.00000000
beat1823,13,5.06666666667,8.46666666667,21.2,26.0,28.0,0.35000000,0.96000000,0.84000000,0.75000000,1.00000000
beat2212,1,1.39743589744,3.29487179487,8.28205128205,9.5641025641,13.7051282051,0.33000000,0.29000000,0.57000000,0.50000000,0.74000000
beat2212,4,5.87179487179,10.9743589744,26.1153846154,33.9358974359,48.7564102564,0.12000000,0.13000000,0.31000000,0.17000000,0.43000000
beat2212,7,8.94871794872,19.0512820513,41.5256410256,56.0641025641,79.5512820513,0.03000000,0.01000000,0.05000000,0.03000000,0.07000000
beat2212,10,12.7051282051,25.0,57.0769230769,75.2051282051,103.782051282,0.05000000,0.02000000,0.11000000,0.05000000,0.08000000
beat2212,13,16.3717948718,34.2820512821,73.9743589744,106.051282051,136.256410256,0.13000000,0.02000000,0.18000000,0.11000000,0.12000000
beat934,1,1.38095238095,5.69047619048,9.83333333333,12.1904761905,14.5952380952,0.11000000,0.12000000,0.05000000,0.49000000,0.61000000
beat934,4,4.02380952381,11.5714285714,21.4761904762,33.4761904762,35.0476190476,0.33000000,0.29000000,0.03000000,0.07000000,0.08000000
beat934,7,8.21428571429,24.2619047619,46.2857142857,64.1666666667,68.0238095238,0.17000000,0.09000000,0.02000000,0.05000000,0.11000000
beat934,10,10.8571428571,30.6428571429,57.0238095238,78.7619047619,94.7380952381,0.08000000,0.13000000,0.02000000,0.23000000,0.10000000
beat934,13,15.3333333333,40.7619047619,78.380952381,107.19047619,116.261904762,0.26000000,0.11000000,0.05000000,0.29000000,0.28000000
beat1223,1,3.95238095238,13.2142857143,21.5714285714,27.4523809524,33.5952380952,0.08000000,0.01000000,0.02000000,0.13000000,0.70000000
