ca, time, knox600ft, knox1200ft, knox1800ft, knox2400ft, knox3000ft, p600ft, p1200ft, p1800ft, p2400ft, p3000ft
ca12,4,0.863387978,0.874293785,0.935077519,1.008243728,1.005130836,0.41,0.69,0.45,0.39,0.47
ca12,7,0.588636364,0.920105356,0.953433039,1.040875912,0.972619048,0.79,0.66,0.62,0.38,0.49
ca12,10,2.921052632,1.082322357,0.965268226,1.150158898,0.948013732,0.34,0.53,0.73,0.4,0.58
ca12,13,1.754545455,0.98835662,0.881048387,1.112263716,0.912994094,0.2,0.43,0.74,0.41,0.61
ca13,1,2.331663327,1.092229199,0.81402439,1.134387352,1.115994713,0.01,0.01,0.06,0.05,0.01
ca13,4,0.717201166,0.902576251,0.864219331,0.987224158,0.982110301,0.03,0.2,0.39,0.22,0.12
ca13,7,0.395316804,0.960141868,0.947513514,1.053181893,1.001992754,0.49,0.39,0.54,0.11,0.29
ca13,10,0.737209302,1.021605326,1.042927786,1.106543337,1.029897494,0.72,0.29,0.18,0.06,0.12
ca13,13,0.918169209,1.053141309,1.063492063,1.039582097,0.976773096,0.67,0.27,0.11,0.09,0.09
ca14,1,1.728947368,1.114726027,0.941314554,1.127643876,0.937664618,0.07,0.04,0.2,0.09,0.16
ca14,4,1.400722022,1.131976212,1.0957786,1.087219542,1.002650511,0.02,0.06,0.03,0.06,0.22
ca14,7,1.089991929,1.057729649,1.059325744,1.028974828,0.939500472,0.04,0.02,0.04,0.05,0.43
ca14,10,1.095828636,1.027757125,1.031784931,1.009767316,0.960384633,0.01,0.09,0.1,0.08,0.25
ca14,13,0.837526205,0.997747748,0.983401853,0.961621571,0.955308602,0.03,0.15,0.19,0.27,0.42
ca15,1,2.052564915,1.197517539,0.949876543,1.118986486,1.01417004,0.01,0.01,0.03,0.05,0.05
ca15,4,0.904092527,1.08019723,0.998274583,1.000359876,0.968914895,0.04,0.06,0.12,0.14,0.27
ca15,7,1.08166612,1.064091185,0.99352173,1.01482761,1.020695518,0.04,0.04,0.13,0.1,0.18
ca15,10,1.418725869,1.128435252,1.047605081,1.039971486,1.016687901,0.01,0.01,0.04,0.03,0.11
ca15,13,1.190170254,1.093057989,0.982577863,0.968652113,0.975476571,0.03,0.01,0.13,0.25,0.24
ca16,1,2.042266187,1.807613169,0.588825215,0.880952381,0.865350409,0.03,0.01,0.06,0.2,0.33
ca16,4,0.819686411,1.288858195,0.90167364,0.978243325,1.015757,0.22,0.02,0.18,0.33,0.23
ca16,7,0.597118959,1.241746148,0.875944261,0.980618488,0.992499728,0.55,0.02,0.33,0.43,0.46
ca16,10,1.044254658,1.242281879,0.862977038,0.944837392,0.935020237,0.47,0.02,0.55,0.76,0.84
ca16,13,2.267569856,1.358760429,0.959149163,1.001868703,0.982022534,0.02,0.01,0.15,0.6,0.75
ca17,1,2.196202532,0.964670659,1.521852237,0.94924812,1.212127846,0.01,0.13,0.03,0.08,0.02
ca17,4,1.492378049,1.00569406,1.196689832,1.019628677,1.045854761,0.01,0.17,0.02,0.1,0.1
ca17,7,1.190429688,1.059479554,1.18194707,0.911950252,0.984068956,0.01,0.06,0.04,0.32,0.24
ca17,10,1.352649007,1.043423537,1.10217182,0.921021769,1.009398598,0.01,0.14,0.02,0.25,0.3
ca17,13,1.378331402,1.137475657,1.180318323,1.00505359,1.022037742,0.01,0.02,0.01,0.1,0.23
ca18,1,3.277777778,0.5,0.434782609,1.727272727,0.573529412,0.12,0.36,0.66,0.17,0.41
ca18,4,5.6,1.166666667,0.918181818,1.375,1.06043956,0.02,0.13,0.43,0.15,0.1
ca18,7,0.75,0.490740741,0.369863014,1.055921053,0.841269841,0.03,0.25,0.66,0.31,0.47
ca18,10,0.366666667,0.542056075,0.526785714,0.912313433,0.985576923,0.09,0.56,0.9,0.82,0.36
ca18,13,0.652173913,0.496062992,0.456140351,1.0433213,1.087087087,0.26,0.77,0.98,0.77,0.64
ca19,1,1.255345688,1.155884783,1.022113234,0.837050538,1.110902782,0.19,0.03,0.08,0.58,0.28
ca19,4,1.303763441,1.125618106,1.055487127,1.021208618,1.048405531,0.01,0.04,0.05,0.13,0.05
ca19,7,1.358615743,1.158896406,1.087010958,1.019171663,1.013509238,0.01,0.01,0.01,0.06,0.11
ca19,10,1.019376748,1.08956705,1.037838629,1.012105697,1.049534586,0.01,0.01,0.01,0.02,0.01
ca19,13,1.12850425,1.084263744,1.037916884,1.019551911,1.034514793,0.02,0.01,0.01,0.02,0.01
ca20,1,1.616141732,0.860764431,1.029784537,1.138452589,0.988188976,0.06,0.3,0.32,0.12,0.17
ca20,4,0.968705548,1.044581091,1.03946281,1.100423472,1.03358964,0.09,0.16,0.22,0.05,0.07
ca20,7,1.01481888,1.114770134,1.085588984,1.094830863,0.99692574,0.17,0.06,0.06,0.04,0.11
ca20,10,0.91761658,1.066732719,0.994030163,0.980764496,0.931376757,0.34,0.12,0.09,0.12,0.34
ca20,13,1.250628141,1.116912816,1.015755017,0.986426299,0.956878307,0.24,0.04,0.16,0.29,0.42
