,expected_value_600,expected_value_1200,expected_value_1800,expected_value_2400,expected_value_3000,Score
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0.99806051,0.99806051
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5003002014,0,0,2.769267561,0,0,2.769267561
5003002014,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5002002017,0,0,0,0.49626506,0,0.49626506
5002002017,0,0,0,0,0,0
5002002017,0,0,0,0,0,0
5002002017,0,0.820635654,0,0.935847598,0,1.756483252
5002002017,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5003001007,0,0,0,0,0,0
5003001007,0,0,0,0,0,0
5003001007,0,0,0,1.907733866,0.996738996,2.904472862
5003001007,0,0,0,0,0,0
5003001007,0,0,0,0,0.991181727,0.991181727
5002001007,0,0,0,0.49626506,0.836697248,1.332962308
5002001007,0,0,0,0,0,0
5002001007,0,0,0,0.953866933,0,0.953866933
5002001007,0,0,0,1.871695196,0.994493539,2.866188735
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0.99806051,0.99806051
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0.99806051,0.99806051
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5002001023,0,0,0,0,0.418348624,0.418348624
5002001023,0,0,0,0,0,0
5002001023,0,0,0,0,0,0
5002001023,0,0,0.883219081,0,0.994493539,1.87771262
5002001023,0,0,0.833436341,0,0.991181727,1.824618068
5002001006,0,0,0,0,0.836697248,0.836697248
5002001006,0,0,0,0,0,0
5002001006,0,0,0,0.953866933,0,0.953866933
5002001006,0,0,0,0,2.983480617,2.983480617
5002001006,0,0.736676232,0,0,1.982363454,2.719039686
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5002001005,0,0,0,0,0.418348624,0.418348624
